hgnc_id,logFC,Pvalue
CENATAC,0.42167017857395,2.516936841086E-04
NR2F2,-0.194435017281027,2.5357992551433E-04
TLK2,0.260956708429106,2.5731170594037E-04
IL4R,0.454995185296377,2.6000566094042E-04
CREBRF,0.473283782605392,2.6038263143917E-04
RUNX1T1,-0.590461015424256,2.6085310628983E-04
NFE2L3,-0.356428619213944,2.6146862359283E-04
HERPUD1,-0.277878095552168,2.6275504074751E-04
HNRNPH3,0.229771078827474,2.6294941972778E-04
ZNF461,0.781201727202851,2.6420358373754E-04
ENSG00000260633,2.2646991123555,2.656075384311E-04
ACTN4,0.221938455018901,2.668624765996E-04
STAT3,0.301109075533945,2.6924930644254E-04
DYSF,-0.530565560294652,2.7099003895237E-04
H19,-0.180803338536595,2.7379059312889E-04
CLDN8,-0.317408373462492,2.7385948675269E-04
PPRC1,0.29574896927971,2.746544204051E-04
PCLO,0.739887439028935,2.7479899623271E-04
EID1,-0.253014059271923,2.7712584489604E-04
SLBP,0.299855789247744,2.7812159308914E-04
NCOA7,0.381822937166272,2.8045985082021E-04
CACNG6,-0.335544238180519,2.8246277354891E-04
GRIA4,-0.221320319658728,2.8277271272478E-04
BAHCC1,-0.35623207025967,2.8424285901867E-04
OTUD4,0.267454568730827,2.8510494519067E-04
ZNF202,0.372456103377721,2.8774818736384E-04
ISCU,-0.267378561676137,2.9013483636735E-04
EMP1,0.456546967437225,2.9238116861171E-04
PLAT,1.0229659450442,2.9451620147582E-04
EPB41L5,0.291125954209773,2.9484578729686E-04
GPBP1,0.240123101318607,2.9789057397234E-04
HPRT1,0.419517003834199,3.0091642771316E-04
CDC25A,0.27487730955041,3.0235246652808E-04
EFNB1,-0.329344655168466,3.075071127364E-04
THAP9-AS1,0.422171978879159,3.0872417814326E-04
CACNA1G,-0.693353374801223,3.1160370153883E-04
LAMC2,0.306010222538696,3.1433185848372E-04
MGAT3,-0.270124291786884,3.1549864193319E-04
RSRC2,0.231368386187999,3.155195059118E-04
ZNHIT6,0.321056477094062,3.1593233166571E-04
ZNF567,0.580315931999163,3.1818945032948E-04
LRATD1,-0.356540398580361,3.1857298898798E-04
USPL1,0.389908165701988,3.2368119906213E-04
WEE1,0.271580048154286,3.2801174430508E-04
UBE2Q2,0.380203178946738,3.321835751953E-04
ZNF212,0.383783985237962,3.3707494907077E-04
TRPV2,-1.47496698939525,3.4189497371899E-04
SERPINF1,-0.245250790493529,3.435263089135E-04
ELK4,0.359065560161801,3.4532164838975E-04
SLFN11,0.503182953224123,3.4592217007011E-04
BTG2,-0.226090479869427,3.4660619884649E-04
NR2C2AP,0.457877640734694,3.4822725580256E-04
CNKSR1,0.327365461264415,3.5230975694585E-04
SMTNL2,-0.326605538537112,3.5242940015558E-04
NTN1,0.413462787848374,3.5401851184481E-04
RC3H1,0.388577416001807,3.5551533486392E-04
PTOV1,-0.26023439814518,3.5697598501116E-04
CCDC92,-0.303258580618264,3.6113565786365E-04
CDCA2,0.363267696379681,3.6139765721213E-04
PRAG1,0.266487587935006,3.6231942910947E-04
LINC00963,-0.349256532658688,3.6493678652139E-04
CGGBP1,-0.260534450161416,3.6814615760357E-04
MCL1,0.237217605774235,3.6871313841767E-04
